user_id,user_name,time,rating,text,pics,resp,gmap_id,biz_name,description,category,avg_rating,num_of_reviews,hours,address,price_level,state,is_spam,is_ad,rant_without_visit
12053695854357871005,User_5506,1654931904400,2,"Professional service, helpful staff, convenient location.",False,False,0x1859595c138fb1:0x14fda85850888c,Best Buy Electronics,Local restaurant,Restaurant,2.7,460,Mon-Fri 9AM-6PM,"206 Oak Ave, Houston, IL",1,FL,0,0,0
11885446857198079865,User_7224,1662885430167,5,"Good experience, fair prices, clean and organized facility.",False,False,0x17ab50791a5d32:0x1fe31d431dcf7a,Target Store,Local fried chicken,Fried Chicken,4.4,592,None,"1239 Main St, Los Angeles, IL",4,FL,0,0,0
70467940183638012887,User_6977,1663168630505,3,"Nice service, friendly staff, will come back again.",True,False,0xc30e805ea7df7:0x212a4ca217e6e6,Taco Bell,None,Bank,3.6,571,None,"5413 Main St, Los Angeles, NY",3,OH,0,0,0
77198756166194678373,User_3340,1650722786270,2,"Satisfied customer, good service, will return in future.",True,False,0x1bbcdcbc0c56d8:0x1f1ba5b0d65195,Chase Bank,None,Pharmacy,1.4,643,None,"7016 Second Ave, New York, TX",1,GA,0,0,0
48951262544385654127,User_8123,1671739253450,1,"Good food, reasonable prices, clean environment.",False,False,0x170a2e26bcb1d4:0x8718dd7b25689,Chipotle Mexican Grill,Local fried chicken,Fried Chicken,2.5,166,Mon-Fri 9AM-6PM,"8789 Main St, Phoenix, IL",1,CA,0,0,0
34119378547762055981,User_1949,1702159277737,4,Best deals online! Shop now and save big on everything!,False,False,0xc08d6cf0c42ab:0x1f78772bdc2103,Walmart Supercenter,None,Coffee Shop,3.4,988,None,"8935 Oak Ave, Chicago, TX",4,PA,1,0,0
18328449353085606324,User_5061,1646255235023,3,Great place to care for our children.,False,False,0x140175b6ea3513:0xc76c7e1b45f2d,Best Buy Electronics,None,Fast Food,3.7,220,Mon-Fri 9AM-6PM,"9455 Second Ave, Houston, CA",2,OH,0,0,0
77496318403257333035,User_6804,1668584260113,4,"Nice service, friendly staff, will come back again.",False,False,0xb827cc0bf8e27:0x9a3aed5d28c00,McDonald's,None,Home Improvement,3.1,144,Mon-Fri 9AM-6PM,"4663 First St, Los Angeles, NY",1,NC,0,0,0
32807176020794548133,User_7658,1673145783831,2,Expert landscaping services for your home. Free estimates available now.,False,False,0x1c9ecba39a857d:0x18bb8b330d5534,Costco Wholesale,None,Supermarket,3.9,159,None,"3666 Main St, Phoenix, AZ",0,PA,0,1,1
92582172023577684410,User_9701,1641671368421,5,"Professional service, helpful staff, convenient location.",False,False,0x1693cc38fa8a03:0x175f77aef3027e,Chase Bank,None,Fast Food,1.3,674,Mon-Fri 9AM-6PM,"8665 Pine Rd, Chicago, CA",2,PA,0,0,0
70874201523558517288,User_6180,1696524910907,5,"Good food, reasonable prices, clean environment.",True,False,0x119319cd2898b8:0x14ef897a36cf32,Bank of America,Local fried chicken,Fried Chicken,3.8,627,Mon-Fri 9AM-6PM,"8766 Main St, Phoenix, IL",3,CA,0,0,0
14878535219027699471,User_2753,1678543593755,2,"Quality products, efficient service, satisfied with visit.",True,False,0xc680f7916a81c:0x3aa89b00fc52d,Chipotle Mexican Grill,None,Electronics Store,2.3,134,Mon-Fri 9AM-6PM,"4391 Oak Ave, Houston, AZ",2,NC,0,0,0
45121283119620467049,User_9938,1696984514526,3,Terrible service! Staff was rude and unhelpful. Never going back again!,False,False,0x1c8434ff512eca:0x1fd853341b06b7,Bank of America,None,Retail Store,4.5,998,Mon-Fri 9AM-6PM,"2632 Oak Ave, Los Angeles, CA",3,NY,0,0,1
51471365707192943722,User_3608,1691621588031,2,Terrible experience! Waited forever and got terrible service. Very frustrated!,False,False,0x18ac7baad55f5b:0x104db9d6377437,Subway Restaurant,None,Donut Shop,2.3,886,None,"4673 Pine Rd, Phoenix, TX",2,NC,0,0,1
33265313980848811170,User_5349,1645454480706,4,"Good experience, fair prices, clean and organized facility.",False,False,0x1a3bdcb0236a6a:0x39b591467f735,Target Store,None,Home Improvement,3.1,826,Mon-Fri 9AM-6PM,"3328 Pine Rd, Houston, NY",3,PA,0,0,0
25643120898973876966,User_5920,1660353143774,4,"Professional service, helpful staff, convenient location.",False,False,0x91f208be4c3a6:0x15c39b4258e2af,Walgreens Pharmacy,None,Bank,2.2,562,Mon-Fri 9AM-6PM,"5078 Pine Rd, Los Angeles, TX",2,MI,0,0,0
73489745767488911177,User_4501,1673255446670,5,"Quality products, efficient service, satisfied with visit.",False,False,0x220446764ab324:0xb118a651116c4,Chipotle Mexican Grill,Local bank,Bank,3.7,231,Mon-Fri 9AM-6PM,"2514 Main St, New York, CA",4,MI,0,0,0
73741177686797901552,User_4185,1691325112449,3,"Nice service, friendly staff, will come back again.",False,True,0x1eb3118fa5d085:0x1228d3c3d7db76,Walgreens Pharmacy,None,Retail Store,1.5,476,Mon-Fri 9AM-6PM,"9257 Second Ave, Chicago, TX",2,NC,0,0,0
75446685937783775673,User_3607,1700023750647,4,"Good experience, fair prices, clean and organized facility.",False,False,0xc3f61e0ce4574:0xdc88dfac09ab8,Whole Foods Market,None,Bank,4.6,83,None,"3888 First St, Los Angeles, CA",0,OH,0,0,0
17669680946811424954,User_4388,1670342244110,3,Worst service! Staff was unprofessional and location was unclean throughout.,False,False,0x1e4bc998da82b1:0x14c699100b7a8d,CRST WIC Office,None,Pharmacy,4.0,560,Mon-Fri 9AM-6PM,"3713 First St, Los Angeles, IL",1,NY,0,0,1
41805532721943497759,User_8657,1653534535786,5,Great place to care for our children.,False,False,0x5296cd34c4b21:0xfaf1ce7601aa4,Starbucks Coffee,None,Bank,2.3,466,Mon-Fri 9AM-6PM,"6311 Pine Rd, Houston, IL",3,GA,0,0,0
34902372956419719771,User_2124,1643794464931,5,"Professional service, helpful staff, convenient location.",False,False,0x126f0cdc93063b:0xbc0a457d6a2f0,Walmart Supercenter,None,Electronics Store,4.1,172,Mon-Fri 9AM-6PM,"1976 Oak Ave, Chicago, NY",2,IL,0,0,0
83015401306800809687,User_7498,1692283425669,2,Awful place! Overcharged for poor service. Would never recommend this place!,False,False,0x1499bdfda8d888:0x18b8ad1270ae68,Target Store,None,Mexican Restaurant,2.5,519,Mon-Fri 9AM-6PM,"307 First St, Houston, NY",1,PA,0,0,1
36480064004455296398,User_9548,1688091551057,3,"Helpful team, good value, would recommend to others.",False,False,0x653709409e13c:0x1fc3d0ec2e576c,KFC Restaurant,None,Supermarket,2.8,769,Mon-Fri 9AM-6PM,"6309 Pine Rd, New York, TX",3,TX,0,0,0
